Rank,Team,2020 solo-tackles-per-game
1,Arizona,42.9
2,Tennessee,42.9
3,Houston,42.8
4,Buffalo,42.3
5,Philadelphia,42.1
6,Seattle,42.0
7,NY Jets,41.6
8,Indianapolis,41.5
9,Jacksonville,41.3
10,Detroit,40.8
11,New England,40.6
12,Denver,40.6
13,Las Vegas,39.9
14,NY Giants,39.9
15,Tampa Bay,39.8
16,Cleveland,39.4
17,Atlanta,39.4
18,Chicago,39.4
19,Pittsburgh,39.2
20,Kansas City,38.4
21,Dallas,38.2
22,Baltimore,37.9
23,San Francisco,37.9
23,Minnesota,37.9
25,Green Bay,37.8
26,Miami,37.6
27,LA Rams,37.5
28,LA Chargers,37.4
29,Washington,36.7
30,New Orleans,36.2
31,Cincinnati,36.1
32,Carolina,35.8
