Rank,Team,2020 opponent-extra-point-attempts-per-game
1,Baltimore,1.8
2,NY Giants,1.9
3,LA Rams,2.0
4,New Orleans,2.1
5,Seattle,2.1
6,Washington,2.2
7,Tampa Bay,2.3
8,Buffalo,2.3
9,Pittsburgh,2.3
10,Green Bay,2.3
11,Arizona,2.4
12,New England,2.4
13,Kansas City,2.5
14,San Francisco,2.5
14,Cleveland,2.5
16,Chicago,2.5
17,Miami,2.6
18,Indianapolis,2.6
19,Carolina,2.7
20,Denver,2.8
20,LA Chargers,2.8
20,Cincinnati,2.8
23,Atlanta,2.8
24,Minnesota,2.9
25,Tennessee,2.9
26,Philadelphia,2.9
27,Dallas,3.0
27,Las Vegas,3.0
29,Houston,3.1
30,NY Jets,3.3
31,Jacksonville,3.4
32,Detroit,3.9
