Rank,Team,2020 opponent-rushing-yards-per-game
1,Tampa Bay,82.7
2,Indianapolis,90.8
3,New Orleans,93.2
4,LA Rams,99.1
5,Seattle,99.6
6,Baltimore,101.3
7,Atlanta,104.8
8,San Francisco,106.4
9,Cleveland,108.2
10,Green Bay,109.8
11,NY Giants,111.4
12,NY Jets,112.0
13,Pittsburgh,112.4
14,Chicago,113.9
15,Washington,114.5
16,Miami,116.4
17,LA Chargers,119.8
18,Carolina,121.0
19,Kansas City,123.2
20,Buffalo,123.2
21,Arizona,125.5
22,Philadelphia,125.8
23,Las Vegas,125.8
24,Tennessee,127.6
25,Denver,130.0
26,New England,131.4
27,Minnesota,134.4
28,Detroit,134.9
29,Cincinnati,148.0
30,Jacksonville,153.3
31,Dallas,158.8
32,Houston,160.3
