Rank,Team,2020 opponent-third-downs-per-game
1,Green Bay,11.5
2,Minnesota,11.6
3,Miami,11.6
3,New England,11.6
5,Kansas City,11.9
6,Baltimore,12.0
7,Detroit,12.1
8,Atlanta,12.2
9,Buffalo,12.4
10,Jacksonville,12.4
11,Carolina,12.4
12,Indianapolis,12.5
13,San Francisco,12.5
14,NY Jets,12.6
14,Houston,12.6
14,Arizona,12.6
17,LA Chargers,12.8
17,NY Giants,12.8
19,Cleveland,12.8
20,Las Vegas,12.8
21,Tampa Bay,12.9
22,New Orleans,13.0
23,LA Rams,13.1
24,Dallas,13.1
25,Cincinnati,13.1
26,Philadelphia,13.2
27,Chicago,13.4
27,Tennessee,13.4
29,Washington,13.5
30,Denver,13.7
31,Pittsburgh,13.9
32,Seattle,14.0
