Rank,Team,2020 passing-first-down-pct
1,Houston,68.10%
2,Atlanta,66.39%
3,Jacksonville,66.13%
4,Pittsburgh,66.01%
5,Chicago,65.32%
6,Tampa Bay,64.40%
7,Kansas City,63.98%
8,Cincinnati,63.21%
9,Detroit,62.86%
10,Dallas,62.26%
11,San Francisco,62.00%
12,Buffalo,61.74%
13,Green Bay,61.12%
14,LA Chargers,60.59%
15,Seattle,60.22%
16,Miami,60.00%
17,NY Giants,59.93%
18,LA Rams,58.18%
19,Washington,57.68%
20,Las Vegas,57.38%
21,Carolina,57.31%
22,Denver,57.14%
23,Indianapolis,55.75%
24,Arizona,55.38%
25,Minnesota,55.35%
26,Cleveland,55.05%
27,NY Jets,54.28%
28,Tennessee,53.94%
29,New Orleans,53.14%
30,Philadelphia,52.68%
31,New England,47.29%
32,Baltimore,42.66%
