Rank,Team,2020 rushing-first-downs-per-game
1,Baltimore,10.6
2,New Orleans,9.1
3,New England,8.9
4,Minnesota,8.7
5,Arizona,8.5
6,Tennessee,8.4
7,Cleveland,8.3
8,Indianapolis,8.2
9,LA Rams,7.7
10,Las Vegas,7.6
11,Dallas,7.2
12,Green Bay,7.2
13,Philadelphia,7.1
14,Kansas City,6.9
14,Buffalo,6.9
16,LA Chargers,6.9
17,Seattle,6.9
18,Carolina,6.9
19,Washington,6.8
20,San Francisco,6.3
21,Miami,6.3
22,NY Jets,5.9
22,Denver,5.9
24,Detroit,5.8
25,Cincinnati,5.8
26,NY Giants,5.7
27,Chicago,5.6
28,Tampa Bay,5.4
29,Atlanta,5.4
30,Houston,5.2
31,Pittsburgh,5.1
32,Jacksonville,5.0
