Rank,Team,2020 overtime-points-per-game
1,Tennessee,0.7
2,LA Chargers,0.4
3,New Orleans,0.3
4,Las Vegas,0.2
4,Arizona,0.2
4,Minnesota,0.2
7,Indianapolis,0.2
8,Kansas City,0.2
9,Dallas,0.0
9,Atlanta,0.0
9,Washington,0.0
9,Pittsburgh,0.0
9,Detroit,0.0
9,Chicago,0.0
9,Jacksonville,0.0
9,San Francisco,0.0
9,NY Jets,0.0
9,Miami,0.0
9,Cleveland,0.0
9,Houston,0.0
9,Tampa Bay,0.0
9,New England,0.0
9,Denver,0.0
9,Buffalo,0.0
9,Carolina,0.0
9,NY Giants,0.0
9,LA Rams,0.0
9,Green Bay,0.0
9,Cincinnati,0.0
9,Baltimore,0.0
9,Seattle,0.0
9,Philadelphia,0.0
