Rank,Team,2020 opponent-passing-touchdown-pct
1,Denver,44.68%
2,Las Vegas,50.91%
3,Miami,51.22%
4,Seattle,53.33%
5,New England,53.66%
6,Buffalo,53.85%
6,LA Rams,53.85%
8,Houston,54.55%
9,Detroit,55.88%
10,Green Bay,56.25%
10,Philadelphia,56.25%
12,Indianapolis,56.52%
13,Minnesota,56.60%
14,Washington,57.50%
15,NY Giants,57.89%
16,LA Chargers,59.18%
17,Pittsburgh,59.52%
17,San Francisco,59.52%
19,Dallas,59.65%
19,Jacksonville,59.65%
21,Baltimore,60.00%
22,Carolina,60.87%
23,Arizona,61.90%
24,Tennessee,63.16%
24,Cleveland,63.16%
26,NY Jets,64.15%
27,Kansas City,67.31%
28,Cincinnati,68.09%
29,Chicago,68.18%
30,Atlanta,69.39%
31,Tampa Bay,70.00%
32,New Orleans,72.09%
