Rank,Team,2020 opponent-passing-play-pct
1,Jacksonville,51.59%
2,Dallas,51.61%
3,New England,52.75%
4,Houston,53.84%
5,Detroit,54.40%
6,Minnesota,54.44%
7,Philadelphia,54.62%
8,Cincinnati,54.65%
9,Chicago,56.80%
10,San Francisco,56.87%
11,LA Chargers,57.17%
12,Washington,57.53%
13,Las Vegas,57.84%
14,Pittsburgh,58.06%
15,Kansas City,58.35%
16,Denver,58.39%
17,Arizona,58.63%
18,NY Giants,58.70%
19,Miami,58.72%
20,NY Jets,58.83%
21,Green Bay,59.45%
22,Tennessee,59.47%
23,Buffalo,59.53%
24,LA Rams,59.84%
25,New Orleans,60.00%
26,Carolina,60.08%
27,Indianapolis,60.86%
28,Cleveland,61.76%
29,Baltimore,62.53%
30,Seattle,63.23%
31,Atlanta,63.25%
32,Tampa Bay,65.97%
