Rank,Team,2020 touchdowns-per-game
1,Green Bay,4.1
2,Tennessee,3.7
3,Tampa Bay,3.7
4,New Orleans,3.6
5,Buffalo,3.5
6,Minnesota,3.4
7,Kansas City,3.4
8,Seattle,3.4
9,Pittsburgh,3.2
10,Cleveland,3.2
11,Baltimore,3.2
12,Indianapolis,3.1
13,Arizona,3.1
14,Las Vegas,3.0
15,Detroit,2.8
15,San Francisco,2.8
15,LA Chargers,2.8
18,Houston,2.8
19,LA Rams,2.7
20,Dallas,2.6
20,Miami,2.6
20,Philadelphia,2.6
23,Atlanta,2.6
24,Chicago,2.4
25,Carolina,2.4
26,Washington,2.4
27,Jacksonville,2.3
28,New England,2.3
29,Denver,2.2
30,Cincinnati,2.1
31,NY Giants,1.7
32,NY Jets,1.6
