Rank,Team,2020 opponent-gross-passing-yards-per-game
1,LA Rams,215.1
2,San Francisco,220.4
3,Pittsburgh,221.0
4,Washington,222.0
5,New Orleans,230.9
6,Baltimore,232.2
7,LA Chargers,232.2
8,New England,232.6
9,Green Bay,235.9
10,Dallas,238.8
11,Kansas City,245.3
12,Cincinnati,246.4
13,Arizona,246.8
14,Chicago,247.3
15,Carolina,251.5
16,Buffalo,252.7
17,Denver,255.6
18,Philadelphia,257.6
19,NY Giants,258.1
20,Indianapolis,261.8
21,Minnesota,266.7
22,Jacksonville,270.1
23,Houston,270.3
24,Tampa Bay,271.2
25,Las Vegas,271.3
26,Miami,273.3
27,Cleveland,280.3
28,Tennessee,280.7
29,NY Jets,287.2
30,Seattle,293.8
31,Detroit,297.1
32,Atlanta,307.4
