Rank,Team,2020 opponent-penalties-per-game
1,Philadelphia,7.0
2,Denver,6.6
3,Arizona,6.5
4,Detroit,6.4
5,Tennessee,6.4
6,Pittsburgh,6.2
7,NY Jets,6.2
7,Cincinnati,6.2
9,Las Vegas,5.9
10,LA Chargers,5.9
11,Tampa Bay,5.9
12,Chicago,5.8
13,Dallas,5.7
13,Atlanta,5.7
15,Kansas City,5.7
16,Seattle,5.6
17,NY Giants,5.5
18,Miami,5.3
18,Carolina,5.3
20,Cleveland,5.3
21,Buffalo,5.2
22,Minnesota,5.2
23,Washington,5.2
23,Indianapolis,5.2
25,New England,5.1
26,LA Rams,5.0
27,San Francisco,4.9
28,Jacksonville,4.9
29,Houston,4.8
30,Green Bay,4.7
31,Baltimore,4.5
32,New Orleans,4.4
