Rank,Team,2020 opponent-kickoff-touchback-pct
1,Chicago,43.33%
2,Indianapolis,44.19%
3,Buffalo,47.92%
4,Cleveland,51.96%
5,LA Chargers,52.22%
6,Pittsburgh,53.09%
7,Green Bay,53.26%
8,NY Giants,54.22%
9,LA Rams,55.70%
10,NY Jets,55.79%
11,Tennessee,56.25%
12,Houston,57.61%
13,New England,58.23%
14,Dallas,60.64%
14,Seattle,60.64%
16,Tampa Bay,61.62%
17,New Orleans,61.63%
18,Philadelphia,61.96%
19,Washington,62.35%
20,Kansas City,63.54%
21,Carolina,63.64%
22,Baltimore,64.47%
23,Detroit,65.00%
24,Cincinnati,65.26%
25,Minnesota,67.62%
26,San Francisco,69.32%
27,Arizona,69.62%
28,Jacksonville,70.00%
29,Atlanta,70.24%
30,Denver,73.00%
31,Las Vegas,76.24%
32,Miami,82.19%
