Rank,Team,2020 opponent-passing-yards-per-game
1,LA Rams,193.8
2,Pittsburgh,198.4
3,Washington,201.9
4,San Francisco,207.9
5,New Orleans,214.0
6,Baltimore,215.7
7,Green Bay,220.1
8,New England,222.3
9,LA Chargers,223.6
10,Arizona,226.4
11,Dallas,227.6
12,Kansas City,231.8
13,Chicago,233.4
14,Philadelphia,237.4
15,Denver,237.9
15,NY Giants,237.9
17,Carolina,239.1
18,Buffalo,239.5
19,Cincinnati,241.2
20,Indianapolis,245.1
21,Tampa Bay,249.1
22,Miami,251.5
23,Houston,256.5
24,Minnesota,258.8
25,Las Vegas,263.3
26,Jacksonville,264.4
27,Cleveland,265.4
28,Tennessee,270.8
29,NY Jets,275.6
30,Seattle,278.2
31,Detroit,284.9
32,Atlanta,293.6
