Rank,Team,2020 red-zone-scores-per-game
1,New Orleans,2.9
1,Green Bay,2.9
3,Tennessee,2.9
4,Minnesota,2.6
5,Tampa Bay,2.6
6,Buffalo,2.5
7,Seattle,2.5
8,Cleveland,2.4
9,Arizona,2.4
10,San Francisco,2.3
11,Kansas City,2.3
12,Detroit,2.2
12,Miami,2.2
14,Pittsburgh,2.2
14,Indianapolis,2.2
16,Baltimore,2.2
17,LA Rams,2.1
18,Las Vegas,2.0
18,LA Chargers,2.0
20,Atlanta,1.9
21,Chicago,1.9
22,Carolina,1.8
23,Washington,1.8
24,Philadelphia,1.8
25,Dallas,1.7
25,Jacksonville,1.7
25,Houston,1.7
28,New England,1.6
29,Denver,1.5
29,Cincinnati,1.5
31,NY Giants,1.2
32,NY Jets,1.0
