Rank,Team,2020 opponent-punt-attempts-per-game
1,Minnesota,2.6
2,Tennessee,2.8
3,Cleveland,2.9
4,Las Vegas,3.0
5,Jacksonville,3.1
6,Detroit,3.1
7,Houston,3.2
7,Carolina,3.2
9,New England,3.3
10,Dallas,3.4
10,Atlanta,3.4
10,NY Jets,3.4
13,NY Giants,3.4
14,Green Bay,3.4
15,Kansas City,3.5
16,Buffalo,3.7
17,Cincinnati,3.7
18,Seattle,3.7
19,LA Chargers,3.8
20,Chicago,3.9
21,Baltimore,3.9
22,Denver,3.9
23,Tampa Bay,4.0
24,Indianapolis,4.0
25,Miami,4.1
26,Arizona,4.2
27,New Orleans,4.3
28,San Francisco,4.3
29,Philadelphia,4.4
30,Washington,4.5
31,Pittsburgh,5.1
32,LA Rams,5.2
