Rank,Team,2020 opponent-penalties-per-play
1,Philadelphia,0.05
2,Denver,0.05
3,Detroit,0.05
4,NY Jets,0.05
5,Arizona,0.05
6,Tennessee,0.05
7,Pittsburgh,0.05
8,Cincinnati,0.05
9,Las Vegas,0.05
10,Tampa Bay,0.05
11,Chicago,0.05
12,LA Chargers,0.04
13,Kansas City,0.04
14,NY Giants,0.04
15,Atlanta,0.04
16,Seattle,0.04
17,Carolina,0.04
18,Miami,0.04
19,Dallas,0.04
20,New England,0.04
21,Cleveland,0.04
22,Indianapolis,0.04
23,Buffalo,0.04
24,Minnesota,0.04
25,Washington,0.04
26,LA Rams,0.04
27,San Francisco,0.04
28,Green Bay,0.04
29,Houston,0.04
30,Jacksonville,0.04
31,Baltimore,0.04
32,New Orleans,0.03
