Rank,Team,2020 penalties-per-game
1,New England,3.9
2,LA Rams,4.2
3,Miami,4.6
4,Pittsburgh,5.0
4,Houston,5.0
4,Tampa Bay,5.0
7,Green Bay,5.1
8,Denver,5.1
8,NY Giants,5.1
10,Minnesota,5.1
11,Tennessee,5.2
12,Atlanta,5.2
12,Cincinnati,5.2
14,Washington,5.2
15,San Francisco,5.3
15,LA Chargers,5.3
17,Seattle,5.5
18,Indianapolis,5.6
19,Chicago,5.7
20,Buffalo,5.8
21,Cleveland,5.9
22,Detroit,5.9
22,Carolina,5.9
24,New Orleans,5.9
25,Dallas,6.0
26,Las Vegas,6.1
27,NY Jets,6.3
28,Baltimore,6.5
29,Kansas City,6.6
30,Jacksonville,6.7
30,Philadelphia,6.7
32,Arizona,7.1
