Rank,Team,2020 passing-first-downs-per-game
1,Kansas City,15.9
2,Atlanta,15.2
3,Buffalo,14.9
4,Tampa Bay,14.7
5,Dallas,14.4
6,LA Chargers,14.1
7,Green Bay,13.9
8,Houston,13.9
9,Pittsburgh,13.8
10,Detroit,13.8
11,San Francisco,13.6
12,Chicago,13.3
13,Minnesota,13.3
14,Arizona,13.2
15,Seattle,13.0
16,Miami,12.9
17,Las Vegas,12.9
18,Indianapolis,12.8
19,Jacksonville,12.8
20,Cincinnati,12.6
21,Tennessee,12.5
22,LA Rams,12.4
23,New Orleans,12.2
24,Cleveland,12.1
25,Carolina,12.0
26,Washington,11.7
27,NY Giants,11.1
28,Philadelphia,11.1
29,Denver,11.0
30,New England,9.8
31,NY Jets,9.1
32,Baltimore,8.7
