Rank,Team,2020 percent-of-games-with-an-interception
1,Washington,76.5%
2,New England,75.0%
3,Tampa Bay,70.0%
4,Miami,68.8%
4,Minnesota,68.8%
6,Kansas City,68.4%
7,Pittsburgh,64.7%
7,Tennessee,64.7%
7,Seattle,64.7%
10,Jacksonville,62.5%
10,Cincinnati,62.5%
12,LA Rams,61.1%
13,LA Chargers,56.3%
14,Green Bay,55.6%
14,Baltimore,55.6%
16,Indianapolis,52.9%
17,Buffalo,52.6%
18,Atlanta,50.0%
18,San Francisco,50.0%
18,Cleveland,50.0%
18,NY Giants,50.0%
22,Chicago,47.1%
23,New Orleans,44.4%
24,Dallas,43.8%
24,Las Vegas,43.8%
24,NY Jets,43.8%
24,Denver,43.8%
28,Arizona,37.5%
28,Carolina,37.5%
28,Philadelphia,37.5%
31,Detroit,25.0%
32,Houston,18.8%
