Rank,Team,2020 net-yards-per-punt-attempt
1,New England,45.6
2,Seattle,45.0
3,Detroit,44.8
4,Washington,43.8
5,Buffalo,43.3
6,Cincinnati,42.8
7,Jacksonville,42.4
8,Baltimore,42.2
9,San Francisco,41.6
10,Houston,41.5
11,Denver,41.4
12,New Orleans,41.4
13,Dallas,41.2
14,Carolina,40.8
15,Tennessee,40.6
16,Philadelphia,40.6
17,Las Vegas,40.1
18,Kansas City,39.8
19,Miami,39.8
20,LA Rams,39.7
21,Arizona,39.6
22,Tampa Bay,39.5
23,Indianapolis,39.5
24,Pittsburgh,39.3
25,Chicago,39.3
26,Atlanta,39.3
27,NY Giants,38.8
28,Cleveland,38.3
29,Green Bay,37.6
30,NY Jets,37.2
31,Minnesota,36.7
32,LA Chargers,34.1
