Rank,Team,2020 opponent-red-zone-scores-per-game
1,Washington,1.4
2,San Francisco,1.6
3,Pittsburgh,1.6
4,Baltimore,1.7
5,Miami,1.7
6,LA Rams,1.7
7,Arizona,1.8
7,Denver,1.8
9,NY Giants,1.9
10,Chicago,1.9
11,Green Bay,1.9
12,Tampa Bay,1.9
13,New England,2.0
13,LA Chargers,2.0
13,Indianapolis,2.0
16,Philadelphia,2.1
17,New Orleans,2.1
18,Dallas,2.1
18,Minnesota,2.1
20,Seattle,2.2
21,Atlanta,2.3
21,NY Jets,2.3
21,Carolina,2.3
24,Kansas City,2.3
25,Cincinnati,2.3
26,Buffalo,2.4
27,Cleveland,2.4
28,Jacksonville,2.5
28,Houston,2.5
30,Las Vegas,2.6
31,Tennessee,2.7
32,Detroit,2.9
