Rank,Team,2020 passing-yards-per-game
1,Kansas City,301.9
2,Houston,283.6
3,Tampa Bay,282.5
4,Buffalo,281.2
5,Atlanta,272.7
6,LA Chargers,270.6
7,Pittsburgh,264.9
8,Las Vegas,263.6
9,Green Bay,262.0
10,Dallas,260.1
11,Indianapolis,256.6
12,Detroit,256.5
13,San Francisco,252.1
14,Minnesota,250.6
15,Arizona,244.8
16,Carolina,243.0
17,LA Rams,240.6
18,Seattle,240.2
19,New Orleans,233.9
20,Miami,233.5
21,Jacksonville,231.2
22,Chicago,226.2
23,Tennessee,224.2
24,Cleveland,222.1
25,Washington,220.8
26,Denver,215.7
27,Cincinnati,215.5
28,Philadelphia,207.9
29,NY Giants,189.1
30,New England,180.6
31,NY Jets,174.8
32,Baltimore,171.9
