Rank,Team,2020 gross-punt-yards-per-game
1,NY Jets,224.9
2,Washington,219.0
3,Philadelphia,212.2
4,Pittsburgh,211.5
5,Cincinnati,209.4
6,Seattle,204.4
7,LA Rams,201.0
8,San Francisco,193.3
9,Jacksonville,190.7
10,Miami,190.0
10,Denver,190.0
12,Chicago,188.5
13,NY Giants,181.9
14,Detroit,181.1
15,New England,167.4
16,LA Chargers,166.8
17,Arizona,162.5
18,New Orleans,159.7
19,Houston,158.2
20,Minnesota,152.2
21,Tampa Bay,151.3
22,Atlanta,148.8
23,Baltimore,146.2
24,Tennessee,146.1
25,Cleveland,140.9
26,Dallas,140.6
27,Buffalo,135.0
28,Indianapolis,134.6
29,Kansas City,131.1
30,Carolina,130.1
31,Green Bay,128.6
32,Las Vegas,121.2
