Rank,Team,2020 1st-quarter-points-per-game
1,Baltimore,6.6
2,Indianapolis,6.5
3,Miami,6.4
4,Tennessee,6.2
5,Arizona,6.1
6,Detroit,5.9
7,Minnesota,5.8
8,Buffalo,5.7
9,Atlanta,5.7
10,San Francisco,5.6
10,Carolina,5.6
12,Tampa Bay,5.6
13,Kansas City,5.4
14,New Orleans,5.3
15,Cleveland,5.2
16,Seattle,5.1
17,Las Vegas,4.9
18,LA Rams,4.8
19,Dallas,4.8
20,NY Giants,4.6
21,Green Bay,4.6
22,LA Chargers,4.6
23,Chicago,4.2
24,Philadelphia,3.9
25,Cincinnati,3.8
26,Houston,3.8
27,NY Jets,3.7
28,Pittsburgh,3.6
29,Denver,3.4
30,Washington,2.9
31,Jacksonville,2.8
32,New England,2.4
