Rank,Team,2020 yards-per-completion
1,Houston,11.8
2,Tampa Bay,11.5
3,Minnesota,11.5
4,Kansas City,11.4
5,Las Vegas,11.4
6,Tennessee,11.4
7,Cleveland,11.1
8,Green Bay,11.0
9,Detroit,11.0
10,Buffalo,11.0
11,Indianapolis,11.0
12,Denver,10.9
13,San Francisco,10.9
14,Atlanta,10.7
15,Baltimore,10.5
16,LA Chargers,10.5
17,Carolina,10.4
18,Seattle,10.2
19,New England,10.2
20,LA Rams,10.2
21,Arizona,10.1
22,Miami,10.1
23,Dallas,10.1
24,New Orleans,10.1
25,Philadelphia,10.0
26,NY Jets,9.6
27,Jacksonville,9.6
28,Pittsburgh,9.5
29,NY Giants,9.4
30,Cincinnati,9.3
31,Chicago,9.1
32,Washington,9.0
