Rank,Team,2020 plays-per-game
1,LA Chargers,70.4
2,Dallas,69.6
3,Arizona,67.7
4,Atlanta,67.4
5,LA Rams,67.2
6,Philadelphia,66.6
7,Pittsburgh,66.3
8,Kansas City,65.9
9,Washington,65.9
10,New Orleans,65.6
11,San Francisco,65.4
12,Indianapolis,65.2
13,Cincinnati,65.0
14,Las Vegas,64.8
15,Denver,64.4
16,Chicago,64.2
17,Tampa Bay,64.1
18,Buffalo,64.1
19,Minnesota,63.9
20,Miami,63.8
21,Cleveland,63.7
22,Tennessee,63.5
23,Seattle,63.5
24,Green Bay,62.8
25,Baltimore,62.8
26,Jacksonville,62.3
27,Carolina,62.1
28,Detroit,61.9
29,New England,61.2
30,NY Giants,60.4
31,NY Jets,59.3
32,Houston,58.8
