Rank,Team,2020 opponent-defensive-touchdowns-per-game
1,Atlanta,0.0
1,New Orleans,0.0
1,Jacksonville,0.0
1,Tennessee,0.0
1,Kansas City,0.0
1,Buffalo,0.0
1,Carolina,0.0
1,LA Chargers,0.0
9,Cleveland,0.1
9,Green Bay,0.1
11,Miami,0.1
11,Houston,0.1
11,NY Giants,0.1
11,Philadelphia,0.1
15,Tampa Bay,0.1
16,Washington,0.1
16,Pittsburgh,0.1
16,Chicago,0.1
16,Seattle,0.1
16,Indianapolis,0.1
21,New England,0.1
21,Cincinnati,0.1
23,LA Rams,0.2
23,Baltimore,0.2
25,Dallas,0.2
25,Las Vegas,0.2
25,Detroit,0.2
25,NY Jets,0.2
25,Arizona,0.2
25,Denver,0.2
25,Minnesota,0.2
32,San Francisco,0.3
