Rank,Team,2020 opponent-2nd-half-points-per-game
1,Washington,6.1
2,LA Rams,7.2
3,Indianapolis,8.9
4,Tampa Bay,9.0
5,Pittsburgh,9.2
6,New Orleans,9.9
6,Baltimore,9.9
8,Miami,10.3
9,Arizona,10.4
10,New England,10.6
11,NY Giants,10.8
12,Kansas City,11.1
13,Chicago,11.5
14,Green Bay,12.3
15,Dallas,12.4
16,Houston,12.5
16,Carolina,12.5
18,Seattle,13.1
19,San Francisco,13.2
19,Philadelphia,13.2
21,Tennessee,13.5
22,NY Jets,13.5
23,Buffalo,13.7
24,Jacksonville,13.8
24,Denver,13.8
26,LA Chargers,13.9
27,Cincinnati,14.2
28,Cleveland,15.1
29,Las Vegas,15.2
30,Atlanta,15.4
31,Detroit,15.6
32,Minnesota,16.5
