Rank,Team,2020 rushing-yards-per-game
1,Baltimore,192.1
2,Tennessee,161.2
3,New England,146.6
4,Cleveland,145.2
5,Minnesota,142.7
6,Arizona,139.8
7,New Orleans,138.4
8,Green Bay,131.8
9,Indianapolis,127.0
10,Philadelphia,126.7
11,LA Rams,126.6
12,Seattle,123.9
13,Denver,119.9
14,Las Vegas,119.8
15,San Francisco,118.1
16,Kansas City,112.8
17,Dallas,111.8
18,LA Chargers,111.5
19,NY Giants,110.5
20,Carolina,106.5
21,Miami,105.5
22,NY Jets,105.2
23,Cincinnati,104.3
24,Buffalo,104.2
25,Tampa Bay,100.5
26,Washington,99.8
27,Chicago,99.7
28,Atlanta,95.8
29,Jacksonville,94.9
30,Detroit,93.7
31,Houston,91.6
32,Pittsburgh,82.5
