Rank,Team,2020 opponent-tackles-per-game
1,NY Jets,54.3
1,Houston,54.3
3,Philadelphia,54.8
4,NY Giants,55.1
5,Detroit,55.3
6,Tampa Bay,55.8
7,Denver,55.8
8,Jacksonville,56.2
9,Seattle,57.1
10,Buffalo,57.2
11,Kansas City,57.3
12,Chicago,57.6
13,Green Bay,58.2
14,Pittsburgh,58.4
15,Miami,58.9
15,New England,58.9
17,Carolina,58.9
18,Atlanta,59.0
19,Washington,59.6
20,Cincinnati,59.8
21,Cleveland,60.2
22,Baltimore,60.3
23,Las Vegas,61.2
24,Tennessee,61.4
25,San Francisco,61.5
26,Minnesota,61.7
27,Arizona,61.8
28,LA Rams,62.0
29,Indianapolis,62.1
30,New Orleans,62.2
31,Dallas,62.5
32,LA Chargers,67.9
