Rank,Team,2020 opponent-penalty-first-downs-per-game
1,NY Jets,2.9
2,New Orleans,2.8
3,Las Vegas,2.8
3,Jacksonville,2.8
5,Kansas City,2.6
6,Chicago,2.5
7,Arizona,2.4
8,Baltimore,2.3
9,Dallas,2.3
10,Detroit,2.2
10,Carolina,2.2
12,San Francisco,2.1
12,Philadelphia,2.1
14,Indianapolis,1.9
15,Atlanta,1.9
16,Tennessee,1.9
17,Miami,1.9
18,Tampa Bay,1.8
19,Green Bay,1.8
20,Washington,1.7
21,Denver,1.6
21,LA Chargers,1.6
23,Buffalo,1.6
24,Cincinnati,1.6
25,Seattle,1.5
26,Houston,1.4
26,NY Giants,1.4
28,Pittsburgh,1.4
29,Minnesota,1.4
30,New England,1.3
31,Cleveland,1.3
32,LA Rams,1.1
