Rank,Team,2020 yards-per-rush-attempt
1,Baltimore,5.6
2,Tennessee,5.0
3,Philadelphia,5.0
4,Minnesota,4.9
5,Seattle,4.8
6,Green Bay,4.8
7,Cleveland,4.8
8,New England,4.7
9,Arizona,4.7
10,Kansas City,4.6
11,Jacksonville,4.5
12,New Orleans,4.5
13,NY Giants,4.4
14,Indianapolis,4.4
15,Denver,4.3
16,San Francisco,4.3
17,Houston,4.3
18,LA Rams,4.3
19,Buffalo,4.2
20,Las Vegas,4.2
21,Carolina,4.2
22,Dallas,4.2
23,NY Jets,4.1
24,Chicago,4.1
25,Tampa Bay,4.1
26,Detroit,4.1
27,Cincinnati,4.1
28,Washington,4.0
29,Miami,3.9
30,LA Chargers,3.8
31,Atlanta,3.7
32,Pittsburgh,3.6
