Rank,Team,2020 tackles-per-game
1,Houston,64.4
2,NY Jets,63.6
3,NY Giants,62.9
4,Tennessee,62.5
5,Minnesota,62.2
6,Jacksonville,62.1
7,Philadelphia,61.5
8,Detroit,61.4
9,Seattle,61.2
10,Dallas,60.9
11,New England,60.7
12,Carolina,60.1
13,Buffalo,60.1
14,Arizona,59.1
15,Cincinnati,59.0
16,Denver,58.8
17,Atlanta,58.6
18,Chicago,58.6
19,Cleveland,58.2
19,LA Rams,58.2
21,Miami,57.8
22,Washington,57.5
23,Baltimore,57.2
24,Tampa Bay,57.2
25,Las Vegas,57.1
26,Kansas City,56.6
27,LA Chargers,56.4
28,Green Bay,56.1
29,San Francisco,56.0
29,Indianapolis,56.0
31,Pittsburgh,54.5
32,New Orleans,52.8
