Rank,Team,2020 pass-intercepted-pct
1,Green Bay,0.98%
2,Houston,1.28%
3,Kansas City,1.32%
4,Tennessee,1.57%
5,Cleveland,1.57%
6,LA Chargers,1.59%
7,Buffalo,1.68%
8,Atlanta,1.75%
9,Las Vegas,1.81%
10,Indianapolis,1.84%
11,New Orleans,1.85%
12,Cincinnati,1.89%
13,Tampa Bay,1.96%
14,Dallas,2.03%
15,Pittsburgh,2.07%
16,NY Giants,2.13%
17,LA Rams,2.18%
18,Detroit,2.23%
19,Arizona,2.26%
20,Miami,2.33%
21,Seattle,2.37%
22,Chicago,2.49%
23,Minnesota,2.52%
24,Jacksonville,2.60%
25,Washington,2.64%
26,Baltimore,2.78%
27,NY Jets,2.81%
28,Carolina,2.91%
29,San Francisco,2.98%
30,New England,3.18%
31,Philadelphia,3.34%
32,Denver,4.14%
