Rank,Team,2020 opponent-passing-yards-pct
1,Tampa Bay,75.08%
2,Atlanta,73.69%
3,Seattle,73.64%
4,Indianapolis,72.96%
5,NY Jets,71.10%
6,Cleveland,71.04%
7,New Orleans,69.67%
8,Miami,68.37%
9,NY Giants,68.12%
10,Baltimore,68.05%
11,Tennessee,67.98%
12,Detroit,67.87%
13,Las Vegas,67.66%
14,Chicago,67.19%
15,Green Bay,66.71%
16,Carolina,66.39%
17,LA Rams,66.17%
18,San Francisco,66.14%
19,Buffalo,66.03%
20,Minnesota,65.81%
21,Philadelphia,65.37%
22,Kansas City,65.30%
23,LA Chargers,65.11%
24,Denver,64.67%
25,Arizona,64.34%
26,Pittsburgh,63.85%
27,Washington,63.81%
28,Jacksonville,63.31%
29,New England,62.84%
30,Cincinnati,61.97%
31,Houston,61.55%
32,Dallas,58.90%
