Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Las Vegas,18.18%,0.00%,0.00%,25.00%,14.29%,35.48%
2,Arizona,20.00%,25.00%,100.00%,20.00%,20.00%,12.90%
3,Chicago,24.00%,0.00%,0.00%,20.00%,25.00%,36.00%
4,Dallas,25.00%,0.00%,0.00%,50.00%,0.00%,32.14%
4,Washington,25.00%,33.33%,--,33.33%,16.67%,36.00%
4,Houston,25.00%,40.00%,33.33%,50.00%,20.00%,38.89%
7,Minnesota,30.00%,25.00%,--,50.00%,0.00%,28.57%
8,Pittsburgh,33.33%,0.00%,--,16.67%,50.00%,47.62%
8,Denver,33.33%,28.57%,100.00%,0.00%,54.55%,75.00%
10,Carolina,35.29%,50.00%,50.00%,18.18%,66.67%,40.00%
11,Indianapolis,35.71%,42.86%,33.33%,50.00%,21.43%,52.38%
12,Green Bay,38.10%,50.00%,--,45.45%,30.00%,35.00%
13,NY Jets,38.46%,20.00%,0.00%,44.44%,25.00%,50.00%
14,New England,43.75%,0.00%,0.00%,30.00%,66.67%,50.00%
14,Kansas City,43.75%,66.67%,100.00%,60.00%,36.36%,46.43%
14,Philadelphia,43.75%,66.67%,50.00%,50.00%,37.50%,28.00%
17,Miami,44.44%,33.33%,100.00%,33.33%,66.67%,41.38%
18,Baltimore,45.45%,50.00%,66.67%,33.33%,50.00%,38.10%
19,Atlanta,50.00%,100.00%,--,60.00%,33.33%,45.83%
19,Detroit,50.00%,33.33%,50.00%,50.00%,50.00%,52.94%
19,San Francisco,50.00%,100.00%,--,40.00%,55.56%,43.48%
19,LA Chargers,50.00%,33.33%,0.00%,60.00%,40.00%,70.00%
19,Cincinnati,50.00%,0.00%,--,33.33%,60.00%,38.89%
24,Buffalo,52.94%,50.00%,100.00%,75.00%,46.15%,24.00%
25,Tennessee,54.55%,33.33%,0.00%,42.86%,75.00%,44.00%
25,NY Giants,54.55%,50.00%,0.00%,75.00%,42.86%,43.48%
25,LA Rams,54.55%,50.00%,--,66.67%,40.00%,56.25%
28,New Orleans,56.25%,50.00%,100.00%,50.00%,60.00%,35.71%
29,Jacksonville,61.54%,66.67%,50.00%,75.00%,55.56%,57.14%
30,Seattle,64.29%,66.67%,100.00%,57.14%,71.43%,35.29%
31,Cleveland,66.67%,66.67%,--,75.00%,62.50%,40.00%
31,Tampa Bay,66.67%,--,--,83.33%,33.33%,61.54%
