Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,LA Rams,78.57%,85.71%,100.00%,71.43%,85.71%,52.38%
2,Kansas City,75.00%,100.00%,--,100.00%,50.00%,68.75%
3,Philadelphia,71.43%,60.00%,66.67%,70.00%,72.73%,44.44%
4,Pittsburgh,69.23%,50.00%,--,75.00%,66.67%,52.17%
5,Houston,66.67%,100.00%,100.00%,75.00%,57.14%,42.86%
6,Minnesota,60.00%,60.00%,--,50.00%,66.67%,54.55%
7,Las Vegas,57.89%,40.00%,50.00%,50.00%,60.00%,61.90%
8,Tennessee,57.14%,50.00%,--,0.00%,66.67%,60.00%
9,Carolina,56.25%,66.67%,100.00%,54.55%,60.00%,41.18%
10,Cleveland,55.56%,45.45%,50.00%,57.14%,53.85%,41.38%
11,Seattle,54.55%,66.67%,--,57.14%,50.00%,36.36%
12,Dallas,50.00%,50.00%,0.00%,42.86%,60.00%,57.69%
12,Washington,50.00%,100.00%,100.00%,33.33%,60.00%,50.00%
12,Detroit,50.00%,100.00%,100.00%,61.54%,38.46%,51.22%
12,Jacksonville,50.00%,80.00%,66.67%,46.15%,55.56%,58.06%
12,NY Jets,50.00%,66.67%,0.00%,41.67%,100.00%,48.28%
12,Tampa Bay,50.00%,33.33%,100.00%,40.00%,57.14%,52.38%
12,Arizona,50.00%,50.00%,0.00%,64.29%,38.89%,58.06%
12,Denver,50.00%,50.00%,0.00%,50.00%,50.00%,57.14%
12,Buffalo,50.00%,--,--,50.00%,50.00%,57.69%
21,Miami,46.67%,40.00%,100.00%,57.14%,37.50%,54.55%
22,Chicago,43.75%,50.00%,66.67%,28.57%,55.56%,41.67%
23,Atlanta,42.86%,25.00%,0.00%,100.00%,33.33%,41.67%
24,LA Chargers,42.11%,0.00%,--,22.22%,60.00%,64.71%
25,San Francisco,40.00%,66.67%,50.00%,57.14%,0.00%,47.62%
25,Baltimore,40.00%,0.00%,0.00%,50.00%,0.00%,66.67%
27,New Orleans,37.50%,0.00%,0.00%,25.00%,50.00%,52.38%
28,NY Giants,36.36%,40.00%,0.00%,60.00%,16.67%,43.33%
29,New England,33.33%,33.33%,100.00%,40.00%,25.00%,71.43%
30,Indianapolis,30.77%,50.00%,66.67%,42.86%,16.67%,62.07%
31,Green Bay,26.32%,50.00%,100.00%,37.50%,18.18%,59.09%
32,Cincinnati,22.22%,--,--,20.00%,25.00%,62.50%
