Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,45.39%,39.73%,44.75%,46.05%,44.74%,48.78%
2,Baltimore,46.10%,42.41%,45.58%,46.44%,45.82%,46.33%
3,Cleveland,46.52%,48.45%,42.25%,45.91%,47.26%,48.66%
4,Cincinnati,46.65%,42.94%,47.06%,41.05%,49.86%,48.83%
5,San Francisco,47.84%,43.91%,41.94%,43.56%,51.40%,49.51%
6,NY Giants,48.09%,51.45%,56.92%,47.80%,48.44%,52.65%
7,Philadelphia,48.13%,53.04%,40.72%,46.82%,49.70%,50.40%
8,Pittsburgh,48.76%,43.50%,42.72%,48.76%,48.76%,51.10%
9,Kansas City,49.08%,50.85%,45.94%,49.35%,48.76%,48.58%
10,Arizona,49.14%,48.08%,49.03%,52.33%,45.94%,48.56%
11,Chicago,49.28%,48.73%,53.47%,48.64%,49.73%,49.45%
12,Jacksonville,49.30%,49.21%,54.42%,49.31%,49.29%,54.40%
13,Buffalo,49.50%,45.44%,36.44%,52.96%,47.78%,47.66%
14,Green Bay,49.62%,52.93%,59.28%,47.65%,51.03%,45.63%
15,Miami,49.76%,49.49%,45.92%,50.07%,49.39%,49.50%
16,LA Rams,49.91%,53.09%,54.06%,48.67%,51.39%,50.05%
17,New England,50.10%,54.95%,63.56%,52.19%,48.01%,49.32%
18,Las Vegas,50.18%,47.07%,44.61%,48.04%,51.40%,50.69%
19,Tennessee,50.75%,51.81%,52.94%,51.27%,50.31%,46.14%
20,Denver,50.77%,52.31%,61.75%,47.36%,53.62%,48.66%
21,Indianapolis,50.94%,52.62%,57.28%,49.47%,52.41%,46.83%
22,LA Chargers,51.07%,52.92%,50.97%,50.97%,51.15%,51.08%
23,Minnesota,51.39%,51.32%,39.53%,49.34%,53.85%,51.47%
24,Dallas,51.58%,45.12%,43.08%,53.54%,49.22%,49.80%
25,Detroit,51.64%,49.35%,52.39%,54.78%,47.86%,51.92%
26,NY Jets,51.67%,50.38%,46.53%,49.91%,53.78%,54.13%
27,New Orleans,51.74%,57.03%,58.06%,47.69%,55.79%,48.96%
28,Atlanta,51.90%,56.95%,55.25%,50.45%,53.34%,53.06%
29,Tampa Bay,52.19%,48.04%,57.75%,56.58%,48.53%,49.67%
30,Seattle,53.13%,53.13%,55.39%,53.14%,53.13%,57.85%
31,Houston,53.18%,55.95%,54.08%,54.13%,52.40%,52.94%
32,Carolina,54.50%,45.55%,38.25%,51.55%,58.64%,48.78%
