Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Green Bay,78.57%,80.00%,75.00%,76.92%,80.00%,70.91%
2,Kansas City,74.36%,88.89%,50.00%,82.35%,68.18%,69.01%
3,Tampa Bay,73.68%,83.33%,100.00%,70.00%,77.78%,65.71%
4,Houston,70.59%,50.00%,50.00%,77.78%,62.50%,67.74%
5,LA Chargers,70.37%,85.71%,100.00%,72.73%,68.75%,65.52%
6,New Orleans,67.86%,100.00%,--,66.67%,69.23%,67.44%
7,Cincinnati,67.65%,50.00%,50.00%,50.00%,83.33%,68.85%
8,Buffalo,67.57%,62.50%,66.67%,68.75%,66.67%,65.22%
9,Washington,65.38%,28.57%,100.00%,92.31%,38.46%,56.76%
10,Miami,64.71%,53.85%,33.33%,56.25%,72.22%,53.85%
11,LA Rams,63.16%,80.00%,100.00%,61.54%,66.67%,78.13%
12,Las Vegas,62.07%,70.00%,60.00%,38.46%,81.25%,63.16%
13,Indianapolis,61.11%,33.33%,50.00%,66.67%,50.00%,51.92%
14,San Francisco,58.62%,62.50%,100.00%,45.45%,66.67%,50.91%
14,Baltimore,58.62%,33.33%,50.00%,45.45%,66.67%,51.22%
16,Seattle,57.58%,60.00%,50.00%,66.67%,52.38%,61.22%
17,Jacksonville,57.14%,75.00%,100.00%,54.55%,58.82%,42.86%
17,Denver,57.14%,66.67%,100.00%,25.00%,70.00%,54.05%
19,Minnesota,54.84%,50.00%,75.00%,52.63%,58.33%,70.83%
20,NY Jets,52.00%,66.67%,75.00%,50.00%,54.55%,55.56%
21,Detroit,50.00%,27.27%,66.67%,65.22%,18.18%,65.71%
21,Chicago,50.00%,50.00%,100.00%,57.14%,42.86%,48.48%
23,Arizona,48.39%,42.86%,66.67%,50.00%,46.67%,50.94%
24,New England,48.00%,75.00%,100.00%,36.36%,57.14%,49.06%
25,Dallas,46.88%,58.33%,50.00%,44.44%,50.00%,62.12%
26,Atlanta,46.67%,66.67%,100.00%,35.29%,61.54%,60.61%
27,Tennessee,45.83%,71.43%,0.00%,55.56%,40.00%,45.10%
28,Philadelphia,43.59%,50.00%,40.00%,47.83%,37.50%,40.38%
29,Carolina,41.67%,25.00%,50.00%,40.00%,44.44%,43.75%
29,NY Giants,41.67%,50.00%,50.00%,46.15%,36.36%,62.50%
31,Pittsburgh,38.89%,14.29%,0.00%,40.00%,37.50%,67.57%
32,Cleveland,38.71%,62.50%,33.33%,35.00%,45.45%,48.84%
