Rank,Team,2021 interception-pct
1,Dallas,4.24%
2,New England,4.09%
3,Buffalo,3.43%
4,Indianapolis,3.18%
5,Houston,3.11%
6,Green Bay,3.05%
7,New Orleans,3.04%
8,LA Rams,2.96%
9,Cincinnati,2.68%
10,Tennessee,2.56%
11,Minnesota,2.56%
12,Tampa Bay,2.50%
13,NY Giants,2.45%
14,Pittsburgh,2.32%
15,Denver,2.31%
16,Miami,2.30%
17,Cleveland,2.26%
18,Arizona,2.25%
19,Kansas City,2.19%
20,Atlanta,2.08%
21,Detroit,2.02%
22,LA Chargers,1.97%
23,Philadelphia,1.92%
24,Washington,1.84%
25,Carolina,1.75%
26,Chicago,1.68%
27,Seattle,1.67%
28,San Francisco,1.66%
29,Baltimore,1.45%
30,Jacksonville,1.29%
31,NY Jets,1.19%
32,Las Vegas,0.94%
