Rank,Team,2021 average-team-passer-rating
1,Green Bay,106.7
2,Cincinnati,105.5
3,Seattle,103.1
4,LA Rams,102.9
5,Dallas,102.6
6,Kansas City,101.7
7,Minnesota,101.6
8,Tampa Bay,100.3
9,Arizona,97.4
10,LA Chargers,97.4
11,Buffalo,97.1
12,San Francisco,95.8
13,New England,94.2
14,Indianapolis,93.5
15,Las Vegas,91.9
16,Denver,91.7
17,Tennessee,88.4
18,Detroit,88.1
19,New Orleans,87.4
20,Philadelphia,86.8
21,Atlanta,86.6
22,Washington,85.8
23,Pittsburgh,85.7
24,Miami,85.4
25,Houston,85.2
26,Cleveland,84.6
27,Baltimore,84.4
28,NY Jets,76.0
29,Chicago,75.5
30,Jacksonville,72.1
31,NY Giants,70.1
32,Carolina,68.5
