Rank,Team,2021 opponent-yards-per-play
1,Buffalo,4.8
2,Cleveland,5.0
3,Carolina,5.1
4,San Francisco,5.1
5,New Orleans,5.1
6,LA Rams,5.2
7,Philadelphia,5.2
8,Las Vegas,5.2
9,Tampa Bay,5.2
10,New England,5.3
11,NY Giants,5.3
12,Miami,5.3
13,Green Bay,5.3
14,Denver,5.3
15,Chicago,5.3
16,Seattle,5.4
17,Tennessee,5.4
18,Arizona,5.5
19,Dallas,5.5
20,LA Chargers,5.6
21,Cincinnati,5.6
22,Indianapolis,5.6
23,Atlanta,5.6
24,Pittsburgh,5.6
25,Jacksonville,5.6
26,Minnesota,5.7
27,Washington,5.7
28,Kansas City,5.8
29,NY Jets,5.9
30,Detroit,5.9
31,Houston,5.9
32,Baltimore,6.0
