Rank,Team,2021 touchdowns-per-game
1,Tampa Bay,3.7
2,Dallas,3.7
3,Buffalo,3.6
4,Kansas City,3.6
5,LA Chargers,3.4
6,Indianapolis,3.1
7,Green Bay,3.1
8,LA Rams,3.0
9,Arizona,2.9
9,New England,2.9
11,Cincinnati,2.9
12,Philadelphia,2.9
13,Seattle,2.9
14,Tennessee,2.8
15,Minnesota,2.8
16,San Francisco,2.8
17,New Orleans,2.5
17,Cleveland,2.5
19,Baltimore,2.4
20,Miami,2.3
21,Washington,2.2
21,Denver,2.2
23,NY Jets,2.1
24,Las Vegas,2.1
25,Detroit,2.1
26,Pittsburgh,2.1
27,Atlanta,1.9
27,Chicago,1.9
29,Carolina,1.9
30,Houston,1.8
31,Jacksonville,1.6
32,NY Giants,1.4
