Rank,Team,2021 opponent-seconds-per-play
1,Green Bay,27.4
2,Tennessee,27.6
3,Indianapolis,27.7
4,Tampa Bay,27.8
5,Washington,28.0
6,Baltimore,28.1
7,Kansas City,28.1
8,Minnesota,28.1
9,Cleveland,28.2
10,Cincinnati,28.3
11,LA Rams,28.3
12,NY Giants,28.3
13,Miami,28.4
14,New Orleans,28.4
15,Philadelphia,28.5
16,Dallas,28.5
17,Denver,28.7
18,Las Vegas,28.7
19,Pittsburgh,28.7
20,Buffalo,28.8
21,LA Chargers,28.8
22,Arizona,29.0
23,Atlanta,29.1
24,NY Jets,29.2
25,San Francisco,29.2
26,Carolina,29.3
27,Detroit,29.3
28,Houston,29.4
29,New England,29.5
30,Seattle,29.9
31,Chicago,30.0
32,Jacksonville,31.2
