Rank,Team,2021 opponent-penalty-yards-per-game
1,Tennessee,62.0
2,Las Vegas,59.8
3,Miami,58.3
4,Pittsburgh,57.9
5,Indianapolis,57.5
6,Dallas,57.3
7,Atlanta,56.2
8,Denver,54.2
9,Seattle,54.1
10,Carolina,52.7
11,Arizona,52.4
12,Baltimore,51.9
13,Jacksonville,51.7
14,Cleveland,51.6
15,Chicago,50.4
16,Kansas City,50.1
17,LA Chargers,49.1
18,Cincinnati,49.0
19,New England,48.8
20,Detroit,48.1
21,NY Jets,47.9
21,NY Giants,47.9
23,Philadelphia,47.7
24,Washington,47.2
25,Buffalo,46.7
26,Houston,46.5
27,Minnesota,46.2
28,San Francisco,45.9
29,New Orleans,44.8
30,Green Bay,42.1
31,LA Rams,42.1
32,Tampa Bay,38.2
