Rank,Team,2021 third-downs-per-game
1,Pittsburgh,14.2
2,Houston,14.1
3,Carolina,13.8
4,Miami,13.7
5,Tennessee,13.6
6,NY Giants,13.5
7,Dallas,13.4
8,Minnesota,13.4
9,Baltimore,13.2
10,Washington,13.2
11,Tampa Bay,13.2
12,Philadelphia,13.1
13,LA Chargers,13.0
14,New Orleans,12.9
15,Buffalo,12.8
16,Arizona,12.8
17,Chicago,12.7
18,Detroit,12.5
18,Denver,12.5
20,LA Rams,12.5
20,Cincinnati,12.5
22,Jacksonville,12.5
22,NY Jets,12.5
22,Cleveland,12.5
25,Las Vegas,12.4
26,Atlanta,12.4
27,New England,12.4
28,Indianapolis,12.4
29,Kansas City,12.1
30,Green Bay,11.9
31,San Francisco,11.6
32,Seattle,11.4
