Rank,Team,2021 punts-per-offensive-score
1,Kansas City,0.5
2,LA Chargers,0.6
3,Buffalo,0.6
4,New England,0.6
5,LA Rams,0.6
6,Arizona,0.7
7,Green Bay,0.7
7,Indianapolis,0.7
9,Dallas,0.7
10,Philadelphia,0.7
11,Tampa Bay,0.7
12,Cincinnati,0.8
13,Tennessee,0.8
14,Las Vegas,0.8
15,San Francisco,0.8
16,Baltimore,0.9
17,Washington,1.0
18,Minnesota,1.0
19,Chicago,1.1
20,Denver,1.1
21,Detroit,1.1
22,Atlanta,1.1
23,Cleveland,1.1
24,Pittsburgh,1.2
25,New Orleans,1.2
26,NY Jets,1.2
27,Seattle,1.3
28,Miami,1.3
29,Carolina,1.3
30,NY Giants,1.4
31,Jacksonville,1.5
32,Houston,1.7
