Rank,Team,2021 opponent-completions-per-game
1,Chicago,18.5
2,Buffalo,18.6
3,New England,18.9
4,Carolina,19.8
5,Denver,20.1
6,LA Chargers,21.0
7,Dallas,21.1
8,Detroit,21.1
9,Arizona,21.2
10,Houston,21.4
11,Pittsburgh,21.4
12,Cleveland,21.6
13,Green Bay,21.7
14,New Orleans,21.7
15,Miami,21.9
16,Jacksonville,22.2
17,San Francisco,22.4
18,Indianapolis,22.9
19,Atlanta,23.0
20,Baltimore,23.4
21,Tennessee,23.5
22,Washington,23.5
23,Las Vegas,23.6
24,NY Jets,23.6
24,Minnesota,23.6
26,NY Giants,23.6
27,Kansas City,24.0
27,LA Rams,24.0
29,Philadelphia,24.3
30,Cincinnati,24.6
31,Seattle,26.1
32,Tampa Bay,26.1
