Rank,Team,2021 opponent-fumbles-not-lost-per-game
1,Dallas,0.3
2,Denver,0.4
3,New England,0.4
4,Baltimore,0.4
4,Minnesota,0.4
6,Miami,0.5
7,New Orleans,0.5
7,Detroit,0.5
9,Washington,0.6
9,Jacksonville,0.6
9,NY Giants,0.6
12,Green Bay,0.6
13,Kansas City,0.7
14,Las Vegas,0.7
15,Buffalo,0.7
16,Chicago,0.7
16,Seattle,0.7
16,Indianapolis,0.7
19,LA Rams,0.7
20,Philadelphia,0.7
21,Tampa Bay,0.7
22,Cincinnati,0.8
23,LA Chargers,0.8
24,Arizona,0.8
25,Atlanta,0.8
26,Pittsburgh,0.8
26,Tennessee,0.8
28,Houston,1.0
29,Cleveland,1.1
30,NY Jets,1.1
30,Carolina,1.1
32,San Francisco,1.2
