Rank,Team,2021 opponent-first-downs-per-play
1,New Orleans,0.286
2,Buffalo,0.292
3,Denver,0.3
4,Carolina,0.303
5,Dallas,0.304
6,LA Rams,0.304
7,San Francisco,0.306
8,New England,0.309
9,Cleveland,0.31
10,Miami,0.312
11,Tampa Bay,0.312
12,Las Vegas,0.315
13,Tennessee,0.316
14,Cincinnati,0.316
15,Indianapolis,0.318
16,Chicago,0.318
17,Green Bay,0.32
18,NY Giants,0.321
19,Pittsburgh,0.322
20,Arizona,0.324
21,Washington,0.325
22,Jacksonville,0.329
23,Baltimore,0.329
24,Philadelphia,0.332
25,Seattle,0.333
26,Minnesota,0.339
27,Kansas City,0.339
28,Detroit,0.341
29,Atlanta,0.344
30,Houston,0.347
31,LA Chargers,0.347
32,NY Jets,0.35
