Rank,Team,2021 passing-first-downs-per-game
1,Kansas City,16.2
2,Tampa Bay,15.8
3,LA Chargers,15.1
4,Dallas,14.4
5,LA Rams,13.9
6,Buffalo,13.8
7,Green Bay,13.5
8,Las Vegas,12.9
9,Baltimore,12.3
10,Arizona,12.3
11,Cincinnati,12.2
12,Pittsburgh,12.2
13,Miami,12.1
14,Minnesota,11.9
15,Atlanta,11.5
16,San Francisco,11.5
17,NY Jets,11.5
18,Detroit,11.4
19,Tennessee,11.3
20,New England,11.1
21,Washington,10.6
22,Chicago,10.6
23,Denver,10.5
24,Jacksonville,10.5
25,Cleveland,10.4
26,Carolina,10.2
27,NY Giants,10.1
28,Philadelphia,9.8
29,Indianapolis,9.8
30,Seattle,9.8
31,New Orleans,9.7
32,Houston,9.5
