Rank,Team,2021 sack-pct
1,Chicago,9.32%
2,Pittsburgh,8.77%
3,San Francisco,8.30%
4,Minnesota,7.53%
5,LA Rams,7.39%
6,Miami,7.32%
7,Tennessee,7.25%
8,New Orleans,7.21%
9,Buffalo,7.13%
10,Carolina,7.04%
11,Cleveland,6.95%
12,Arizona,6.76%
13,Green Bay,6.47%
14,Tampa Bay,6.28%
15,Cincinnati,6.22%
16,Dallas,6.05%
17,Denver,6.02%
18,New England,6.01%
19,Washington,5.98%
20,LA Chargers,5.89%
21,Jacksonville,5.57%
22,Houston,5.54%
23,Las Vegas,5.47%
24,NY Jets,5.32%
25,NY Giants,5.27%
26,Indianapolis,5.24%
27,Detroit,5.23%
28,Baltimore,5.19%
29,Philadelphia,5.01%
30,Seattle,4.91%
31,Kansas City,4.71%
32,Atlanta,3.03%
