Rank,Team,2021 average-scoring-margin
1,Buffalo,11.5
2,Dallas,9.2
3,Tampa Bay,9.0
4,New England,7.2
5,Kansas City,7.0
6,LA Rams,5.7
7,Indianapolis,5.1
8,Cincinnati,4.5
9,Green Bay,4.2
10,Tennessee,3.4
11,San Francisco,3.4
12,Arizona,3.3
13,Philadelphia,2.4
14,New Orleans,1.7
14,Seattle,1.7
16,LA Chargers,0.9
17,Denver,0.8
18,Minnesota,-0.1
19,Baltimore,-0.3
20,Cleveland,-1.3
21,Miami,-1.9
22,Las Vegas,-4.0
23,Pittsburgh,-4.2
24,Chicago,-5.6
25,Washington,-5.8
26,Carolina,-5.9
27,Detroit,-8.4
28,Atlanta,-8.6
29,NY Giants,-9.3
30,Houston,-10.1
31,NY Jets,-11.4
32,Jacksonville,-12.0
