Rank,Team,2021 defensive-touchdowns-per-game
1,Dallas,0.3
2,Miami,0.3
3,Philadelphia,0.3
4,Tennessee,0.2
5,Kansas City,0.2
6,New England,0.2
7,Atlanta,0.1
7,Washington,0.1
7,New Orleans,0.1
7,Chicago,0.1
7,Cleveland,0.1
7,Baltimore,0.1
7,Minnesota,0.1
14,Arizona,0.1
14,Green Bay,0.1
16,Tampa Bay,0.1
17,San Francisco,0.1
18,Cincinnati,0.1
19,Jacksonville,0.1
19,NY Jets,0.1
19,Houston,0.1
19,Denver,0.1
19,LA Chargers,0.1
19,NY Giants,0.1
19,Indianapolis,0.1
26,Pittsburgh,0.1
27,Buffalo,0.1
28,LA Rams,0.0
29,Las Vegas,0.0
29,Detroit,0.0
29,Carolina,0.0
29,Seattle,0.0
