Rank,Team,2021 rushing-first-down-pct
1,Philadelphia,45.36%
2,Indianapolis,43.50%
3,Baltimore,40.36%
4,Cleveland,40.35%
5,New England,37.70%
6,Denver,37.46%
7,Washington,37.39%
8,Tennessee,37.30%
9,New Orleans,36.81%
10,Carolina,36.65%
11,Chicago,35.74%
12,Seattle,35.10%
13,Arizona,34.91%
14,Buffalo,34.89%
15,San Francisco,34.88%
16,Detroit,31.61%
17,Minnesota,31.02%
18,Jacksonville,30.26%
19,NY Giants,30.10%
20,Green Bay,29.31%
21,Houston,28.95%
22,Dallas,28.78%
23,Cincinnati,28.68%
24,NY Jets,28.06%
25,LA Chargers,27.93%
26,Kansas City,27.66%
27,Miami,26.77%
28,Tampa Bay,26.62%
29,Las Vegas,26.61%
30,LA Rams,26.26%
31,Pittsburgh,25.73%
32,Atlanta,24.51%
