Rank,Team,2021 opponent-red-zone-scoring-attempts-per-game
1,Denver,2.5
2,Dallas,2.6
3,Las Vegas,2.7
4,New Orleans,2.7
5,Buffalo,2.7
6,Baltimore,2.9
7,Green Bay,2.9
8,New England,3.0
9,LA Rams,3.0
10,Arizona,3.1
11,Cleveland,3.1
11,Carolina,3.1
13,Indianapolis,3.1
14,Chicago,3.2
15,Cincinnati,3.3
16,Kansas City,3.3
17,Tennessee,3.3
18,Miami,3.4
19,Tampa Bay,3.4
20,Washington,3.5
20,Minnesota,3.5
22,Pittsburgh,3.5
22,San Francisco,3.5
24,Detroit,3.5
25,Jacksonville,3.6
25,Seattle,3.6
27,Philadelphia,3.6
28,Houston,3.9
29,LA Chargers,3.9
30,Atlanta,4.1
31,NY Giants,4.2
32,NY Jets,4.4
