Rank,Team,2021 opp-2nd-quarter-points-per-game
1,Indianapolis,4.9
2,New Orleans,5.0
2,New England,5.0
4,Denver,5.5
5,Dallas,5.7
6,Seattle,5.9
7,Cleveland,6.0
8,Chicago,6.1
8,Miami,6.1
10,San Francisco,6.1
11,Philadelphia,6.3
12,Tennessee,6.4
13,Buffalo,6.6
14,LA Rams,6.7
15,Green Bay,6.7
16,LA Chargers,6.8
17,Tampa Bay,6.8
18,Baltimore,7.1
19,Jacksonville,7.6
20,Las Vegas,7.6
21,Carolina,7.6
22,Cincinnati,7.8
23,Kansas City,7.8
24,Atlanta,7.9
25,Pittsburgh,8.0
26,Houston,8.1
27,Washington,8.1
28,Arizona,8.2
29,Minnesota,8.6
30,NY Giants,9.0
31,Detroit,9.1
32,NY Jets,10.0
