Rank,Team,2021 opponent-points-per-field-goal-attempt
1,New England,2.0
2,Baltimore,2.3
3,San Francisco,2.3
4,Denver,2.3
5,Cincinnati,2.4
6,Indianapolis,2.4
7,New Orleans,2.4
8,Seattle,2.5
9,Tennessee,2.5
9,Arizona,2.5
11,Las Vegas,2.5
11,Miami,2.5
13,Dallas,2.5
14,Minnesota,2.6
15,Tampa Bay,2.6
15,Kansas City,2.6
17,Carolina,2.6
18,Houston,2.6
18,Green Bay,2.6
20,Detroit,2.6
20,LA Rams,2.6
22,Philadelphia,2.6
23,Jacksonville,2.7
24,Buffalo,2.7
25,Pittsburgh,2.7
25,NY Giants,2.7
27,Chicago,2.7
28,LA Chargers,2.7
29,NY Jets,2.8
30,Atlanta,2.8
31,Washington,2.8
32,Cleveland,2.9
