Rank,Team,2021 penalty-yards-per-penalty
1,NY Giants,7.7
2,Detroit,7.8
3,Miami,7.9
4,Pittsburgh,8.0
5,Philadelphia,8.0
6,Carolina,8.1
7,Atlanta,8.2
8,Jacksonville,8.2
9,New Orleans,8.3
10,Seattle,8.3
11,Kansas City,8.3
12,LA Rams,8.3
13,NY Jets,8.3
14,Baltimore,8.4
15,Cincinnati,8.4
16,Dallas,8.5
17,Denver,8.6
18,Houston,8.6
19,Arizona,8.6
20,Chicago,8.6
21,Buffalo,8.8
22,Las Vegas,8.8
23,New England,8.9
24,LA Chargers,8.9
25,Indianapolis,9.1
26,Washington,9.1
27,Tampa Bay,9.2
28,Cleveland,9.2
29,Minnesota,9.4
30,Tennessee,9.4
31,Green Bay,9.5
32,San Francisco,10.0
