Rank,Team,2021 passing-touchdown-pct
1,LA Rams,78.13%
2,Green Bay,70.91%
3,Minnesota,70.83%
4,Kansas City,69.01%
5,Cincinnati,68.85%
6,Houston,67.74%
7,Pittsburgh,67.57%
8,New Orleans,67.44%
9,Detroit,65.71%
9,Tampa Bay,65.71%
11,LA Chargers,65.52%
12,Buffalo,65.22%
13,Las Vegas,63.16%
14,NY Giants,62.50%
15,Dallas,62.12%
16,Seattle,61.22%
17,Atlanta,60.61%
18,Washington,56.76%
19,NY Jets,55.56%
20,Denver,54.05%
21,Miami,53.85%
22,Indianapolis,51.92%
23,Baltimore,51.22%
24,Arizona,50.94%
25,San Francisco,50.91%
26,New England,49.06%
27,Cleveland,48.84%
28,Chicago,48.48%
29,Tennessee,45.10%
30,Carolina,43.75%
31,Jacksonville,42.86%
32,Philadelphia,40.38%
