Rank,Team,2021 rushing-touchdown-pct
1,Carolina,53.13%
2,Philadelphia,50.00%
3,Tennessee,47.06%
4,Cleveland,46.51%
5,Jacksonville,46.43%
6,Arizona,45.28%
6,New England,45.28%
8,Baltimore,43.90%
9,San Francisco,43.64%
10,Denver,43.24%
11,Chicago,42.42%
12,Indianapolis,42.31%
13,NY Jets,38.89%
14,Las Vegas,36.84%
15,Seattle,36.73%
16,Washington,35.14%
17,Detroit,34.29%
18,Atlanta,33.33%
18,Buffalo,33.33%
18,NY Giants,33.33%
21,Tampa Bay,31.43%
22,LA Chargers,31.03%
23,Miami,30.77%
24,New Orleans,27.91%
25,Cincinnati,27.87%
26,Pittsburgh,27.03%
27,Houston,25.81%
28,Green Bay,25.45%
29,Kansas City,25.35%
30,Dallas,24.24%
31,Minnesota,20.83%
32,LA Rams,18.75%
