Rank,Team,2021 rushing-play-pct
1,Philadelphia,49.87%
2,Tennessee,48.78%
3,New Orleans,48.53%
4,San Francisco,48.39%
5,Indianapolis,47.43%
6,Cleveland,46.02%
7,New England,45.73%
8,Washington,44.58%
9,Chicago,44.19%
10,Denver,43.92%
11,Baltimore,43.63%
12,Arizona,43.56%
13,Seattle,43.29%
14,Houston,41.58%
15,Minnesota,41.46%
16,Green Bay,41.39%
17,Carolina,41.14%
18,Buffalo,40.79%
19,LA Rams,40.69%
20,Cincinnati,40.52%
21,Detroit,40.44%
22,Dallas,40.39%
23,Miami,40.29%
24,NY Giants,39.90%
25,Atlanta,39.07%
26,Jacksonville,38.13%
27,Kansas City,37.64%
28,LA Chargers,37.50%
29,Las Vegas,37.12%
30,NY Jets,36.68%
31,Pittsburgh,36.56%
32,Tampa Bay,33.54%
