Rank,Team,2021 2nd-half-points-per-game
1,Buffalo,15.8
2,Tampa Bay,14.8
3,Philadelphia,14.8
4,Dallas,14.3
5,New England,14.2
6,LA Rams,13.7
7,LA Chargers,13.7
8,Cincinnati,13.4
9,Kansas City,13.3
10,Pittsburgh,13.2
11,Arizona,12.8
12,Minnesota,12.8
13,Indianapolis,12.7
14,Green Bay,12.6
15,New Orleans,12.2
15,Baltimore,12.2
17,San Francisco,11.9
18,Las Vegas,10.8
18,Tennessee,10.8
20,Detroit,10.5
21,Miami,10.4
22,Denver,10.3
22,Seattle,10.3
24,Washington,9.6
24,NY Jets,9.6
26,NY Giants,8.9
27,Cleveland,8.7
28,Chicago,8.6
29,Atlanta,7.5
30,Jacksonville,7.2
31,Carolina,7.2
32,Houston,7.1
